symbol,epoch,close
R_100,1648130800,10581.56
R_100,1648130802,10582.6
R_100,1648130804,10584.13
R_100,1648130806,10589.77
R_100,1648130808,10588.45
R_100,1648130810,10584.73
R_100,1648130812,10584.43
R_100,1648130814,10583.48
R_100,1648130816,10579.33
R_100,1648130818,10580.34
R_100,1648130820,10580.56
R_100,1648130822,10584.33
R_100,1648130824,10587.4
R_100,1648130826,10586.69
R_100,1648130828,10583.7
R_100,1648130830,10587.06
R_100,1648130832,10588.8
R_100,1648130834,10589.72
R_100,1648130836,10586.75
R_100,1648130838,10580.69
R_100,1648130840,10579.73
R_100,1648130842,10581.17
R_100,1648130844,10581.39
R_100,1648130846,10579.01
R_100,1648130848,10576.5
R_100,1648130850,10573.19
R_100,1648130852,10570.57
R_100,1648130854,10571.5
R_100,1648130856,10573.86
R_100,1648130858,10570.55
R_100,1648130860,10570.24
R_100,1648130862,10568.98
R_100,1648130864,10573.54
R_100,1648130866,10571.37
R_100,1648130868,10569.34
R_100,1648130870,10573.61
R_100,1648130872,10575.43
R_100,1648130874,10577.38
R_100,1648130876,10572.31
R_100,1648130878,10571.55
R_100,1648130880,10572.47
R_100,1648130882,10577.25
R_100,1648130884,10578.62
R_100,1648130886,10578.75
R_100,1648130888,10577.67
R_100,1648130890,10575.91
R_100,1648130892,10580.3
R_100,1648130894,10576.32
R_100,1648130896,10576.74
R_100,1648130898,10576.57
R_100,1648130900,10574.75
R_100,1648130902,10576.01
R_100,1648130904,10571.31
R_100,1648130906,10571.27
R_100,1648130908,10576.24
R_100,1648130910,10578.35
R_100,1648130912,10581.72
R_100,1648130914,10583.51
R_100,1648130916,10580.24
R_100,1648130918,10580.37
R_100,1648130920,10584.01
R_100,1648130922,10582.62
R_100,1648130924,10582.63
R_100,1648130926,10578.36
R_100,1648130928,10576.69
R_100,1648130930,10574.37
R_100,1648130932,10574.71
R_100,1648130934,10578.34
R_100,1648130936,10580.65
R_100,1648130938,10577.37
R_100,1648130940,10582.87
R_100,1648130942,10583.52
R_100,1648130944,10585.22
R_100,1648130946,10586.29
R_100,1648130948,10586.63
R_100,1648130950,10586.29
R_100,1648130952,10583.5
R_100,1648130954,10583.88
R_100,1648130956,10583.21
R_100,1648130958,10584.38
R_100,1648130960,10581.73
R_100,1648130962,10587.47
R_100,1648130964,10591.76
R_100,1648130966,10589.03
R_100,1648130968,10589.93
R_100,1648130970,10597.57
R_100,1648130972,10602.6
R_100,1648130974,10607.35
R_100,1648130976,10604.98
R_100,1648130978,10609.85
R_100,1648130980,10609.85
R_100,1648130982,10609.19
R_100,1648130984,10611.79
R_100,1648130986,10610.25
R_100,1648130988,10605.37
R_100,1648130990,10601.43
R_100,1648130992,10597.97
R_100,1648130994,10597.26
R_100,1648130996,10591.82
R_100,1648130998,10594.83
R_100,1648131000,10594.72
R_100,1648131002,10591.01
